Are you enrolled in Trinity College of Arts and Sciences or the Pratt School of Engineering?,Are you of Hispanic/Latino/Spanish origin?,How would you best describe yourself?,What is your gender?,What is your sexual orientation?,Are you a first-generation college student?,Are you a recruited varsity athlete?,Are you an international student?,Which state do you live in (please enter the postal abbreviation)?,What is the ZIP Code of your home address?,What is your home city?,What is your home country?,What type of community are you from?,What do you estimate is your immediate family's total annual income?,Do you receive financial aid from Duke?,Which major are you most inclined towards?,Which of the following most influenced your decision to attend Duke?,How interested are you in Greek life at Duke?,How interested are you in non-Greek selective living groups at Duke?,Are you more or less likely to rush if the recruitment process were to be online?,What is your primary motivation for wanting to rush?,Which of the following best describes your living situation this semester?,What was your primary reason for staying home?,Are you planning to come to campus/Durham in the spring?,What are your plans for the spring?,Did you receive additional COVID-19 relief funds from Duke? (in addition to financial aid package),What do you think of the amount received?,Have you tested positive for COVID-19 (while on campus)?,Has someone you know tested positive for COVID-19 (while on campus)?,Share your opinions on... - The Duke Compact,Share your opinions on... - Duke's enforcement of the Duke Compact,Share your opinions on... - First-year fall housing arrangements,How many in-person classes are you in this semester?,Are you in a FOCUS?,How many of your FOCUS classes are in-person (not including the FOCUS “dinner”)?,Have you been able to find community this year?,Where have you primarily found community?,How much do you think the pandemic has negatively affected your ability to find community?,How likely are you to abide by the following elements of the Duke Compact: - Wearing a mask or face covering in all public spaces,How likely are you to abide by the following elements of the Duke Compact: - Monitoring and reporting symptoms through the SymMon app,How likely are you to abide by the following elements of the Duke Compact: - Avoiding large gatherings of 10+ people,How likely are you to abide by the following elements of the Duke Compact: - Engaging in physical distancing,How likely are your peers to abide by the following elements of the Duke Compact: - Wearing a mask or face covering in all public spaces,How likely are your peers to abide by the following elements of the Duke Compact: - Monitoring and reporting symptoms through the SymMon app,How likely are your peers to abide by the following elements of the Duke Compact: - Avoiding large gatherings of 10+ people,How likely are your peers to abide by the following elements of the Duke Compact: - Engaging in physical distancing,How likely are you to report violations to the Duke Compact?,Were your summer and/or travel plans affected by the pandemic?,Has any member of your household lost their job or been furloughed due to the pandemic?,Have any of your family members or close contacts died from COVID-19?,What was your high school GPA (scaled on a 0 to 4.00 scale)?,Did you take the SAT or ACT?,What was your SAT combined score?,What was your ACT composite score?,What type of secondary school did you attend?,Did you hire a private college admissions counselor during the admissions process?,How many colleges and universities did you apply to?,How many colleges and universities were you accepted to?,Did you apply to Duke via the Early Decision process?,Were you accepted off the waitlist from Duke?,Was Duke your first choice?,Did any of your parents or siblings attend Duke?,Which best describes your religion?,How religious would you say you are?,How would you describe your political beliefs?,Did you / are you planning to vote in the 2020 election?,Who did you vote for / who are you planning to vote for?,Did you / are you planning to vote at your home or in Durham?,Did you vote in the primary election?,Have you done any of the following?,Have you received treatment for your mental health before?,Are you currently receiving treatment for your mental health?,In which format do you read The Chronicle?
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,NC,27707,,,Suburban,"$125,000-$250,000",Yes,Computer Science,Academics and interdisciplinary curriculum,Not interested at all,Not interested at all,Neither more or less likely,,Remote in Durham,,,Unsure,No,,No,No,Somewhat favorable,No opinion,No opinion,0,No,,Neither agree nor disagree,,A lot,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately unlikely,Very unlikely,Moderately likely,Yes,No,No,4,SAT,1580,,Other,No,11,4,No,No,No,No,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Home (Durham),No,,No,,Online
Trinity,No,"Asian,Other",Cis Woman,Heterosexual,Yes,No,No,AL,35741,,,Urban,"Below $40,000",Yes,Global Health**,Study abroad / away opportunities,Not interested at all,Moderately interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,0,Yes,0,Somewhat agree,Dorm,A lot,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Neither likely nor unlikely,Yes,Yes — lost their job,No,3.9,ACT,,34,Private (non-denominational),No,7,1,Yes,No,No,No,,Not very religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,,No,,Online
Pratt,No,White,Cis Woman,Heterosexual,No,No,No,AL,35758,,,Suburban,"$250,000-$500,000",No,Environmental Engineering,Academics and interdisciplinary curriculum,Not interested at all,Very interested,Neither more or less likely,,On campus,,,Going back home,No,,No,Yes,Somewhat favorable,Somewhat favorable,Somewhat favorable,4,No,,Somewhat disagree,,A lot,Very likely,Very likely,Very likely,Very likely,Moderately unlikely,Very likely,Moderately unlikely,Moderately unlikely,Moderately unlikely,Yes,No,No,4,"SAT,ACT",1570,35,Public (non-charter),No,12,11,No,No,No,No,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Durham,Yes,,No,,Online
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,NY,11577,,,Suburban,"$250,000-$500,000",No,,Academics and interdisciplinary curriculum,Moderately interested,Moderately interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Strongly favorable,Strongly favorable,2,No,,Somewhat agree,Orientation Week,A lot,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Yes,No,No,3.9,ACT,,34,Public (non-charter),Yes,15,8,Yes,No,Yes,No,Jewish,Somewhat religious,Moderate,Yes,Joe Biden,Durham,Yes,,Prefer not to say,,Print and Online
Pratt,No,Asian,Gender queer/Nonbinary,Bisexual,No,No,No,AZ,85048,,,Suburban,"$250,000-$500,000",No,Biomedical Engineering,Student life / campus culture,Not interested at all,Slightly interested,Neither more or less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Somewhat favorable,1,No,,Somewhat agree,Dorm,A moderate amount,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Neither likely nor unlikely,Yes,No,No,4,"SAT,ACT",1570,35,Public (non-charter),No,12,4,No,No,No,No,Hindu,Somewhat religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Ineligible to vote,"Drank alcohol,Used drugs,Had sex",No,,Print and Online
Trinity,No,Black or African American,Cis Woman,Heterosexual,No,No,No,NJ,07866,,,Suburban,"$250,000-$500,000",Yes,Global Health**,Pre-professional opportunities and alumni network,Slightly interested,Slightly interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Somewhat favorable,3,No,,Somewhat agree,Classes,A lot,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately unlikely,Yes,Yes — lost their job,Yes,3.9,SAT,1480,,Public (non-charter),No,23,17,No,No,No,No,Catholic,Not very religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Ineligible to vote,,No,,Online
Trinity,No,White,Cis Man,Asexual,No,No,No,TX,76092,,,Suburban,"$125,000-$250,000",Yes,Chemistry,Academics and interdisciplinary curriculum,Not interested at all,Not interested at all,Much less likely,,On campus,,,Staying on campus,No,,No,Yes,Strongly favorable,Somewhat favorable,Strongly favorable,0,Yes,0,Strongly agree,Dorm,A little,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Very unlikely,Moderately unlikely,Moderately likely,Yes,No,No,4,SAT,1590,,Public (non-charter),No,20,9,No,No,No,No,Agnostic,Not very religious,Moderate,Yes,Joe Biden,Durham,Yes,,Yes,No,Print and Online
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,North Carolina,27516,,,Suburban,"$250,000-$500,000",Yes,Neuroscience,Academics and interdisciplinary curriculum,Very interested,Very interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,Yes,Somewhat unfavorable,No,Yes,Strongly favorable,Somewhat favorable,Strongly favorable,0,No,,Somewhat agree,Dorm,A great deal,Very likely,Very likely,Very likely,Very likely,Neither likely or unlikely,Moderately Likely,Moderately Likely,Neither likely or unlikely,Neither likely nor unlikely,Yes,No,No,4,SAT,1520,,Public (non-charter),Yes,7,1,Yes,No,Yes,No,Jewish,Somewhat religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Yes,"Drank alcohol,Had sex",No,,Print
Trinity,No,White,Cis Man,Heterosexual,No,No,No,TX,77024,,,Suburban,"$250,000-$500,000",No,Mathematics,Academics and interdisciplinary curriculum,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat unfavorable,Strongly favorable,2,No,,Strongly agree,Dorm,A moderate amount,Very likely,Very likely,Moderately Likely,Moderately Likely,Very unlikely,Moderately Likely,Moderately unlikely,Moderately unlikely,Very unlikely,Yes,No,No,4,"SAT,ACT",1590,36,Public (non-charter),No,7,3,No,No,Yes,No,Other,Religious,Somewhat conservative,Yes,,Home (Not Durham),No,,No,,Online
Trinity,No,White,Cis Woman,Questioning,No,No,No,CO,80814,,,Rural,"$80,000-$125,000",Yes,Computer Science,Financial aid award / scholarship,Not interested at all,Moderately interested,Neither more or less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,No,No opinion,Strongly unfavorable,Strongly favorable,1,No,,Somewhat agree,Other,A great deal,Moderately Likely,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Neither likely nor unlikely,Yes,Yes — lost their job,No,3.98,"SAT,ACT",1470,33,Public (non-charter),No,4,4,Yes,No,Yes,No,,Not at all religious,Moderate,Yes,Joe Biden,Home (Not Durham),Yes,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",No,,Online
Trinity,No,White,Cis Man,Gay/Homosexual/Lesbian,No,No,No,FL,33904,,,Suburban,"$80,000-$125,000",Yes,Biology,Academics and interdisciplinary curriculum,Slightly interested,Moderately interested,Less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,1,No,,Strongly agree,Dorm,A moderate amount,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Neither likely nor unlikely,No,Yes — lost their job,No,4,SAT,1520,,Private (parochial),No,2,2,Yes,No,Yes,No,Agnostic,Not at all religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Ineligible to vote,"Drank alcohol,Used drugs,Had sex",Yes,No,Online
Trinity,No,Asian,Cis Man,Heterosexual,Yes,No,Yes,,,Islamabad,Pakistan,Urban,"Below $40,000",Yes,Computer Science,Academics and interdisciplinary curriculum,Moderately interested,Moderately interested,Less likely,Meeting new people,At Home,Difficulty travelling,Yes - to campus,,No,,No,No,Somewhat favorable,Somewhat favorable,Somewhat favorable,0,No,,Somewhat disagree,,A great deal,Very likely,Very likely,Very likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Neither likely or unlikely,Neither likely or unlikely,Moderately unlikely,Yes,No,No,3.94,SAT,1540,,Private (non-denominational),No,1,1,Yes,No,Yes,No,Atheist,Not at all religious,Very liberal,Ineligible to vote,,,Ineligible to vote,,No,,Online
Trinity,No,White,Cis Woman,Heterosexual,No,Yes,No,TN,37402,,,Suburban,"$250,000-$500,000",No,,Student life / campus culture,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Somewhat favorable,2,No,,Somewhat agree,Clubs/Extracurriculars,A lot,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately likely,Yes,No,No,3.8,"SAT,ACT",1240,33,Private (non-denominational),No,1,1,Yes,No,Yes,No,Catholic,Somewhat religious,Moderate,Yes,Joe Biden,Home (Not Durham),Yes,,Yes,No,Online
Trinity,No,White,Cis Man,Heterosexual,No,Yes,No,NC,27104,,,Suburban,"$250,000-$500,000",No,Physics,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,Other,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,No opinion,Somewhat favorable,0,No,,Strongly agree,Clubs/Extracurriculars,None at all,Moderately Likely,Moderately Likely,Very unlikely,Moderately unlikely,Moderately Likely,Moderately Likely,Neither likely or unlikely,Neither likely or unlikely,Moderately unlikely,Yes,No,No,4,"SAT,ACT",1580,36,Public (non-charter),No,3,3,No,No,Yes,No,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,"Drank alcohol,Had sex",No,,Print and Online
Pratt,Yes,White,Cis Man,Heterosexual,No,No,No,NC,27518,,,Suburban,"$80,000-$125,000",Yes,Electrical and Computer Engineering,Financial aid award / scholarship,Slightly interested,Slightly interested,Neither more or less likely,Other,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly favorable,No opinion,1,No,,Somewhat agree,Dorm,A lot,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Neither likely or unlikely,Moderately unlikely,Moderately unlikely,Yes,No,No,3.93,SAT,1540,,Public (non-charter),No,6,5,No,No,No,No,Other,Not at all religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,"Drank alcohol,Used drugs",No,,Online
Trinity,No,White,Cis Man,Heterosexual,No,No,No,DC,20015,,,Suburban,"Above $500,000",No,Biology,Academics and interdisciplinary curriculum,Moderately interested,Moderately interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Strongly unfavorable,Somewhat favorable,0,Yes,0,Somewhat agree,Dorm,A great deal,Very likely,Very likely,Neither likely or unlikely,Very unlikely,Very likely,Moderately Likely,Neither likely or unlikely,Very unlikely,Very unlikely,Yes,No,No,3.92,ACT,,35,Private (non-denominational),Yes,8,5,Yes,No,Yes,Yes,Jewish,Not very religious,Somewhat liberal,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",No,,Print and Online
Pratt,No,White,Cis Man,Heterosexual,No,No,No,PA,19060,,,Suburban,"$250,000-$500,000",No,Electrical and Computer Engineering,"Duke’s ""brand name""",Not interested at all,Slightly interested,Less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,No,No opinion,Somewhat favorable,Somewhat favorable,1,No,,Somewhat agree,Dorm,A moderate amount,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Neither likely or unlikely,Moderately Likely,Moderately unlikely,Yes,No,No,4,SAT,1580,,Public (non-charter),No,7,4,Yes,Yes,Yes,No,Agnostic,Not very religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),No,"Drank alcohol,Used drugs",No,,Neither
Trinity,No,White,Cis Woman,Questioning,No,No,No,MN,55316,,,Suburban,"$80,000-$125,000",Yes,Undecided,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,Yes,Somewhat favorable,No,Yes,Strongly favorable,Somewhat favorable,Strongly favorable,2,Yes,1,Somewhat agree,Dorm,A lot,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Neither likely nor unlikely,Yes,Yes — lost their job,No,3.99,ACT,,35,Public (non-charter),No,13,4,No,No,Yes,No,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Durham,Yes,Drank alcohol,No,,Print and Online
Trinity,No,White,Cis Man,Heterosexual,No,No,No,NC,27517,,,Suburban,"$250,000-$500,000",No,Biophysics,Student life / campus culture,Slightly interested,Slightly interested,Neither more or less likely,Cultural connection,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,1,No,,Neither agree nor disagree,,A lot,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Moderately unlikely,Moderately unlikely,Neither likely nor unlikely,Yes,No,No,3.91,"SAT,ACT",1540,31,Public (non-charter),No,1,1,Yes,No,Yes,No,Jewish,Somewhat religious,Somewhat conservative,Yes,Donald Trump,Home (Durham),No,,No,,Neither
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,NC,27617,,,Suburban,"$125,000-$250,000",Yes,Public Policy Studies,Academics and interdisciplinary curriculum,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,Yes,Strongly favorable,Somewhat favorable,Strongly favorable,1,No,,Somewhat disagree,,A lot,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Moderately unlikely,Moderately unlikely,Moderately likely,Yes,No,No,3.96,"SAT,ACT",1560,36,Public (non-charter),No,3,3,Yes,No,Yes,No,Hindu,Religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,,No,,Online
Trinity,Yes,White,Cis Man,Heterosexual,No,No,No,VA,20148,,,Suburban,"$125,000-$250,000",Yes,Biology,Pre-professional opportunities and alumni network,Not interested at all,Slightly interested,Neither more or less likely,,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat unfavorable,Somewhat favorable,2,No,,Neither agree nor disagree,,A great deal,Very likely,Moderately unlikely,Moderately Likely,Moderately Likely,Moderately unlikely,Moderately unlikely,Moderately unlikely,Moderately unlikely,Moderately likely,Yes,No,No,4,"SAT,ACT",1480,34,Public (non-charter),No,12,4,No,Yes,No,No,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Durham,Yes,,No,,Online
Trinity,No,"White,Other",Cis Man,Heterosexual,No,No,No,Fl,32081,,,Suburban,"$250,000-$500,000",Yes,Economics,Academics and interdisciplinary curriculum,Moderately interested,Moderately interested,Less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,No opinion,Somewhat favorable,Somewhat favorable,1,No,,Somewhat disagree,,A great deal,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Moderately unlikely,Yes,No,No,4,"SAT,ACT",1530,35,Public (non-charter),No,1,1,Yes,No,Yes,Yes,Jewish,Not very religious,Somewhat conservative,Yes,Donald Trump,Home (Not Durham),No,"Drank alcohol,Used drugs,Had sex",No,,Online
Trinity,Yes,White,Cis Woman,Heterosexual,No,No,No,TX,77382,,,Suburban,"Below $40,000",No,Computer Science,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat unfavorable,Strongly favorable,2,Yes,2,Somewhat agree,Dorm,A great deal,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Very unlikely,Very unlikely,Very likely,Yes,No,No,4,"SAT,ACT",1530,36,Public (non-charter),No,7,6,No,No,Yes,No,Catholic,Very religious,Moderate,Yes,Joe Biden,Home (Not Durham),No,,No,,Neither
Trinity,Yes,Other,Cis Woman,Heterosexual,No,No,No,TX,75048,,,Suburban,"$125,000-$250,000",No,Biology,Financial aid award / scholarship,Not interested at all,Moderately interested,Much less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Somewhat favorable,0,Yes,0,Somewhat agree,Dorm,A lot,Moderately Likely,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Neither likely or unlikely,Moderately unlikely,Neither likely nor unlikely,Yes,No,No,3.9,"SAT,ACT",1590,35,Public (non-charter),No,11,10,No,No,No,No,Jewish,Somewhat religious,Somewhat conservative,Yes,Joe Biden,Home (Not Durham),Ineligible to vote,Drank alcohol,Yes,Yes,Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,Yes,,,Vancouver,Canada,Suburban,"$40,000-$80,000",Yes,Neuroscience,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,Preprofessional opportunities / alumni network,On campus,,,Unsure,No,,No,No,Strongly favorable,Strongly favorable,Strongly favorable,1,No,,Somewhat agree,Orientation Week,A lot,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Neither likely nor unlikely,Yes,No,No,3.98,SAT,1540,,Public (non-charter),Yes,19,10,No,No,No,No,Agnostic,Not at all religious,Very liberal,Yes,Joe Biden,Home (Durham),Ineligible to vote,,No,,Neither
Pratt,No,White,Cis Man,Heterosexual,No,No,No,FL,32606,,,Suburban,"$250,000-$500,000",No,Mechanical Engineering,Academics and interdisciplinary curriculum,Extremely interested,Moderately interested,Much less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat unfavorable,Somewhat unfavorable,No opinion,3,No,,Somewhat agree,Dorm,A lot,Moderately Likely,Very likely,Moderately unlikely,Moderately unlikely,Very likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Very unlikely,Yes,No,No,3.98,SAT,1540,,Public (non-charter),No,2,2,Yes,No,Yes,No,Protestant,Not very religious,Somewhat conservative,Yes,Joe Biden,Home (Not Durham),Yes,"Drank alcohol,Had sex",No,,Online
